Formatted Date,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Visibility (km)
2012-04-12 10:00:00.000 +0200,14.716666666666601,14.716666666666601,0.59,24.794,11.109000000000002
2012-04-14 13:00:00.000 +0200,12.9222222222222,12.9222222222222,0.89,7.4865,11.109000000000002
2012-04-14 15:00:00.000 +0200,13.833333333333302,13.833333333333302,0.78,8.7101,8.211
2012-04-17 16:00:00.000 +0200,7.80555555555555,5.15555555555555,0.9,15.4881999999999,10.6743
2012-05-26 16:00:00.000 +0200,17.8444444444444,17.8444444444444,0.58,14.4256,11.1573
2016-10-12 03:00:00.000 +0200,8.21111111111111,6.42222222222222,0.94,10.465,2.9624
2016-10-12 04:00:00.000 +0200,8.12777777777777,6.26111111111111,0.94,10.8192,2.9463
2016-10-12 05:00:00.000 +0200,8.08333333333333,5.966666666666661,0.94,12.235999999999999,3.4937
2016-10-12 06:00:00.000 +0200,8.26666666666666,6.13888888888888,0.93,12.558,3.0107
2016-10-12 07:00:00.000 +0200,8.25,5.7055555555555495,0.93,15.5204,2.9463
2016-10-12 23:00:00.000 +0200,7.844444444444441,4.93888888888888,0.88,17.6295,11.6886
2016-10-15 19:00:00.000 +0200,13.244444444444401,13.244444444444401,0.8,8.1788,8.05
2016-10-15 20:00:00.000 +0200,12.683333333333302,12.683333333333302,0.82,9.9498,9.982000000000001
2016-10-15 21:00:00.000 +0200,12.2055555555555,12.2055555555555,0.85,10.7387,9.982000000000001
2016-10-15 22:00:00.000 +0200,12.005555555555501,12.005555555555501,0.86,10.8836,15.7297
2016-10-15 23:00:00.000 +0200,11.7611111111111,11.7611111111111,0.86,10.8836,14.7637
2016-10-16 00:00:00.000 +0200,11.544444444444402,11.544444444444402,0.86,7.3577,15.5043
2016-10-16 01:00:00.000 +0200,11.4166666666666,11.4166666666666,0.89,4.4114,9.6761
2016-10-16 02:00:00.000 +0200,11.394444444444401,11.394444444444401,0.89,5.6028,8.1466
2016-10-16 03:00:00.000 +0200,11.283333333333301,11.283333333333301,0.9,3.4132,4.9105
2016-10-16 04:00:00.000 +0200,10.911111111111099,10.911111111111099,0.91,3.542,3.9767
2016-10-16 05:00:00.000 +0200,10.8166666666666,10.8166666666666,0.91,4.5724,4.83
2016-10-16 06:00:00.000 +0200,10.994444444444401,10.994444444444401,0.91,2.0286,4.83
2016-10-16 07:00:00.000 +0200,10.9722222222222,10.9722222222222,0.91,2.2701,4.3631
2016-10-16 08:00:00.000 +0200,11.0999999999999,11.0999999999999,0.93,1.7388,2.9946
2016-10-16 09:00:00.000 +0200,11.411111111111099,11.411111111111099,0.93,2.4633,2.898
2016-10-16 10:00:00.000 +0200,12.3499999999999,12.3499999999999,0.88,3.4937,2.0769
2016-10-16 11:00:00.000 +0200,12.9722222222222,12.9722222222222,0.87,5.2164,2.254
2016-10-20 23:00:00.000 +0200,10.022222222222199,10.022222222222199,0.82,19.2556,14.7959
2016-10-21 00:00:00.000 +0200,9.49444444444444,7.216666666666661,0.84,15.7458,15.6492
2016-10-21 01:00:00.000 +0200,9.12222222222222,7.0,0.84,13.8782,15.6009
2016-10-21 03:00:00.000 +0200,8.33888888888888,6.58888888888888,0.89,10.4006,15.5526
2016-10-21 04:00:00.000 +0200,8.05,6.061111111111099,0.92,11.4149,11.7047
2016-10-21 05:00:00.000 +0200,8.03888888888888,6.19999999999999,0.93,10.5616,9.7566
2016-10-21 06:00:00.000 +0200,8.33333333333333,6.13333333333333,0.91,13.1537,9.7083
2016-10-21 07:00:00.000 +0200,8.55555555555555,6.4,0.91,13.1859,9.6761
2016-10-22 09:00:00.000 +0200,8.03333333333333,5.76666666666666,0.88,13.1698,8.0017
2016-10-26 13:00:00.000 +0200,14.899999999999899,14.899999999999899,0.83,17.5329,0.0
2016-10-26 14:00:00.000 +0200,15.194444444444402,15.194444444444402,0.8,18.7243,0.0
